Location,Court,Size,Floor,A_S,Price_per_size
38,3,600,3,1,10405
38,17,600,1,1,7314
38,17,600,2,1,9093
38,81,700,1,1,6493
38,133,500,3,1,9149
38,133,500,3,1,10557
38,133,700,1,1,9290
38,156,700,3,1,9432
38,172,600,1,1,7564
42,168,600,3,1,7270
42,168,700,3,1,7650
3,7,600,3,1,7330
3,28,600,1,1,8438
3,28,600,1,1,7770
3,40,500,2,1,9406
3,40,500,2,1,9910
3,40,600,2,1,9831
3,46,600,2,1,7324
3,61,500,3,1,8782
3,140,600,2,1,4177
24,76,500,1,1,11871
24,76,600,3,1,11148
29,1,600,1,1,9797
29,1,600,2,1,11959
29,143,700,1,1,8751
29,144,600,1,1,8246
29,144,600,3,1,9190
29,145,500,3,1,10250
29,146,400,1,1,12112
29,146,600,3,1,12050
29,146,700,1,1,11286
29,149,700,1,1,11305
29,149,700,2,1,11459
29,149,700,1,1,13505
1,4,500,1,1,12513
1,4,500,1,1,12750
1,4,500,3,1,13070
1,101,600,1,1,11790
1,115,500,1,1,9755
1,150,400,2,1,6546
27,85,300,2,1,6868
5,109,500,2,1,11961
5,109,500,3,1,10384
5,109,500,2,1,10488
5,109,600,1,1,9324
5,109,600,1,1,10569
5,109,600,1,1,9409
7,36,600,1,1,9648
7,36,600,3,1,11330
13,147,500,1,1,7633
13,147,600,2,1,7267
22,15,600,2,1,9066
44,32,400,2,1,7033
44,32,500,2,1,7189
44,32,500,2,1,7216
44,32,500,2,2,7734
44,91,500,2,1,7424
15,107,500,1,1,9041
15,160,400,3,1,11363
18,44,500,1,1,5934
18,51,600,3,1,8696
18,51,700,1,1,7954
18,52,700,2,1,7289
18,86,600,3,1,10377
18,86,600,2,1,10575
18,86,700,2,1,10921
18,86,700,3,1,11197
25,45,700,3,1,8914
45,75,500,1,1,8633
45,75,700,1,1,7571
21,6,500,1,1,11107
21,6,600,1,1,12162
9,8,700,3,1,7691
9,11,500,2,1,5819
9,73,700,3,1,7258
9,118,600,2,1,4899
9,151,500,1,1,4305
9,151,500,2,1,5047
9,151,500,2,1,5627
9,154,600,3,1,7800
9,154,600,2,1,8303
9,155,600,1,1,7096
9,158,500,1,1,6526
9,158,600,2,1,6819
9,174,700,1,1,6250
33,24,500,2,1,6381
33,27,400,2,1,5931
33,119,500,2,1,5547
33,121,600,3,1,7915
33,162,700,2,1,7910
36,123,500,3,1,6921
36,123,500,2,1,6426
36,123,600,1,1,6049
36,123,600,2,1,7116
36,123,600,2,1,6355
36,123,700,2,1,6399
36,123,700,2,1,6568
36,123,700,3,1,6614
36,124,700,1,1,6537
36,124,700,2,1,6691
36,124,700,3,1,6814
36,124,700,2,1,6845
36,124,700,3,1,7121
36,128,500,2,1,6094
36,130,500,1,1,6933
36,130,500,2,1,7395
36,130,600,1,1,8005
36,130,600,2,1,7477
36,132,500,3,1,6448
36,132,600,2,1,5726
46,90,400,2,1,5305
46,90,400,1,1,4934
41,35,600,1,1,6736
41,35,600,1,1,7601
41,35,600,1,1,7635
41,66,400,1,1,4658
41,66,500,3,1,6314
41,88,500,1,1,4735
41,92,500,1,1,6643
41,92,500,1,1,6666
41,92,500,2,1,6953
41,92,500,2,1,7845
41,92,600,1,1,7027
41,92,600,1,1,7196
41,92,600,1,1,7517
41,92,600,2,1,7601
41,92,600,2,1,8108
41,114,600,3,1,7540
41,125,500,2,1,4690
41,171,500,2,1,6875
14,100,700,2,1,9875
14,100,700,3,1,9998
14,100,700,3,1,10767
14,100,700,2,1,10767
39,10,400,2,1,6294
39,10,500,1,1,5976
39,10,500,2,1,6269
39,10,600,2,1,7304
39,14,600,3,1,10832
20,41,500,2,1,4848
20,41,600,2,1,6746
20,62,500,2,1,10428
20,62,500,3,1,8914
20,62,500,3,1,9639
20,62,600,3,1,10062
20,62,700,1,1,9274
20,62,700,2,1,9692
20,64,600,3,1,9536
20,64,600,2,1,9885
20,64,700,3,1,9782
20,65,700,2,2,7755
20,110,500,1,1,6503
26,37,500,1,1,10581
26,166,600,3,1,10697
26,166,700,2,1,10690
26,166,700,1,1,9728
28,42,400,2,1,6674
28,42,500,2,1,5105
28,82,500,1,1,5768
38,2,600,3,1,11443
38,3,500,1,1,9012
38,3,600,3,1,9797
38,21,600,2,1,8839
38,21,700,1,1,9120
38,69,400,3,2,6539
38,81,500,3,1,8328
38,81,600,2,1,8879
38,81,700,1,1,7492
38,81,700,3,1,9464
38,104,400,2,1,5721
38,104,400,1,1,5774
38,104,500,2,1,7126
38,133,500,2,1,10361
38,133,600,3,1,8969
38,133,700,3,1,10252
38,133,700,2,1,9540
38,133,700,1,1,9550
38,156,600,1,1,7605
38,156,600,2,1,9581
38,156,600,2,1,9272
38,167,600,3,1,9417
38,172,600,3,1,9030
38,172,700,1,1,8274
38,172,700,3,1,8425
38,172,700,2,1,8446
42,168,700,1,1,7156
3,7,500,2,1,9414
3,7,500,1,1,6400
3,28,500,1,1,7339
3,28,600,1,1,8811
3,39,500,3,1,9929
3,39,600,1,1,8771
3,40,600,3,1,9510
3,61,600,1,1,6157
3,61,600,3,1,8622
3,61,700,1,1,5775
3,89,500,2,1,8446
3,89,500,3,1,8978
3,140,400,1,1,7427
3,170,600,1,1,8163
24,76,600,2,1,12297
24,76,600,1,1,13175
29,1,500,2,1,12552
29,1,600,1,1,10810
29,1,600,1,1,10979
29,1,600,1,1,11317
29,1,600,2,1,12246
29,143,700,2,1,8654
29,144,600,1,1,8640
29,148,500,1,1,10009
29,149,700,2,1,11505
29,149,700,3,1,13735
1,4,500,1,1,13035
1,4,500,1,1,10800
1,4,600,2,1,12503
1,87,300,3,1,6925
1,87,400,1,1,6981
1,87,500,2,1,8535
1,115,500,1,1,9639
1,150,500,1,1,6314
27,85,400,1,1,7299
5,109,600,1,1,10608
5,109,600,1,1,10693
5,109,600,3,1,12108
5,109,600,1,1,10483
5,109,600,2,1,11761
7,93,500,1,1,9736
13,147,300,2,1,7880
13,147,400,1,1,6903
19,120,600,2,1,12340
40,141,600,1,1,9110
40,141,700,3,1,9197
43,57,700,3,1,12408
44,19,500,3,1,6494
44,19,500,1,1,6945
44,19,600,1,1,6822
44,32,400,1,1,6438
44,32,500,3,1,7779
44,74,600,1,1,11040
44,74,600,3,1,11358
44,74,600,3,1,12749
44,74,600,2,1,10439
15,107,500,1,1,9290
15,107,700,1,1,8934
15,139,300,1,1,5387
15,139,400,1,1,5022
15,139,500,2,1,6383
15,139,500,2,1,6376
15,160,400,3,1,12237
15,160,600,3,1,11474
15,160,600,2,1,11568
18,44,500,2,1,6697
18,51,500,1,1,7578
18,51,600,3,1,8770
18,51,600,3,1,9621
18,86,700,2,1,11044
18,86,700,3,1,11025
18,122,300,2,1,3386
18,122,500,1,1,6269
25,45,500,1,1,8258
25,45,700,1,1,8611
45,75,700,1,1,7918
9,8,700,2,1,7875
9,59,700,2,1,7880
9,73,500,3,1,7603
9,73,600,3,1,7853
9,151,500,3,1,4870
9,151,500,1,1,4911
9,155,500,2,1,7316
9,155,600,2,1,7027
9,158,700,3,1,8108
9,174,500,3,1,7155
30,173,600,2,1,6816
31,129,500,2,1,5382
33,27,500,2,1,6125
33,27,600,3,1,5772
33,119,500,2,1,6443
33,153,500,1,1,6108
36,123,500,3,1,6681
36,123,700,2,2,6537
36,123,700,3,1,6768
36,123,700,3,1,6860
36,123,700,2,1,6922
36,123,700,3,1,6998
36,124,600,3,1,6523
36,124,600,3,1,6622
36,124,700,3,1,6306
36,124,700,1,1,6306
36,124,700,3,1,6429
36,124,700,3,1,6698
36,130,600,3,1,8302
36,130,700,3,1,8596
36,130,700,3,1,7844
46,33,700,2,1,8776
46,90,400,1,1,5305
41,35,500,2,1,6689
41,35,600,1,1,6638
41,35,600,2,1,7635
41,35,600,1,1,7854
41,66,400,2,1,5271
41,66,600,2,1,5397
41,92,500,2,1,8593
41,92,500,2,1,8413
41,92,600,1,1,7263
41,92,600,1,1,7547
41,92,600,2,1,7871
41,92,600,1,1,8074
41,113,300,1,1,4454
41,113,500,2,1,4737
